,preds,true,detector_name
0,[],"(10210, 10210)",ABCD
1,"[9097, 11215]","(8005, 8005)",ABCD
2,"[10956, 13021]","(9577, 9577)",ABCD
3,[],"(9562, 9562)",ABCD
4,[8351],"(7222, 7222)",ABCD
5,[8382],"(7588, 7588)",ABCD
6,[12820],"(9274, 9274)",ABCD
7,[12697],"(8143, 8143)",ABCD
8,"[9070, 11016]","(8176, 8176)",ABCD
9,[13358],"(7660, 7660)",ABCD
10,[],"(10644, 10644)",ABCD
11,[13844],"(9233, 9233)",ABCD
12,"[8510, 12484]","(7876, 7876)",ABCD
13,[],"(9422, 9422)",ABCD
14,[10896],"(10136, 10136)",ABCD
15,[8277],"(7450, 7450)",ABCD
16,"[9456, 12148]","(8327, 8327)",ABCD
17,[],"(10410, 10410)",ABCD
18,"[9021, 11178]","(7966, 7966)",ABCD
19,[10468],"(9823, 9823)",ABCD
20,[11456],"(10787, 10787)",ABCD
21,[10312],"(9200, 9200)",ABCD
22,"[9693, 11685]","(8974, 8974)",ABCD
23,[12755],"(7032, 7032)",ABCD
24,[10687],"(9804, 9804)",ABCD
25,[10035],"(8480, 8480)",ABCD
26,"[8983, 11314]","(8042, 8042)",ABCD
27,"[8295, 12784]","(6970, 6970)",ABCD
28,"[8360, 13282]","(7479, 7479)",ABCD
29,[8167],"(7216, 7216)",ABCD
30,"[9582, 10431]","(8747, 8747)",ABCD
31,"[8223, 12036]","(7284, 7284)",ABCD
32,[8404],"(7177, 7177)",ABCD
33,[],"(10615, 10615)",ABCD
34,[],"(10231, 10231)",ABCD
35,"[8261, 11928]","(7379, 7379)",ABCD
36,"[9738, 10567]","(8661, 8661)",ABCD
37,[11199],"(10894, 10894)",ABCD
38,"[9040, 13096]","(8083, 8083)",ABCD
39,"[9783, 11147]","(8144, 8144)",ABCD
40,[13620],"(8200, 8200)",ABCD
41,[],"(7515, 7515)",ABCD
42,[8583],"(7920, 7920)",ABCD
43,"[8859, 11608]","(7623, 7623)",ABCD
44,[11624],"(9796, 9796)",ABCD
45,[11951],"(10390, 10390)",ABCD
46,[],"(10513, 10513)",ABCD
47,[12078],"(10339, 10339)",ABCD
48,[11198],"(10212, 10212)",ABCD
49,"[10181, 10567]","(8434, 8434)",ABCD
50,[],"(10210, 10210)",ABCDx
51,[10472],"(8005, 8005)",ABCDx
52,[13059],"(9577, 9577)",ABCDx
53,[11234],"(9562, 9562)",ABCDx
54,[9799],"(7222, 7222)",ABCDx
55,[10537],"(7588, 7588)",ABCDx
56,[],"(9274, 9274)",ABCDx
57,[13884],"(8143, 8143)",ABCDx
58,[10754],"(8176, 8176)",ABCDx
59,[],"(7660, 7660)",ABCDx
60,[12210],"(10644, 10644)",ABCDx
61,[12016],"(9233, 9233)",ABCDx
62,[],"(7876, 7876)",ABCDx
63,[11861],"(9422, 9422)",ABCDx
64,[11867],"(10136, 10136)",ABCDx
65,[],"(7450, 7450)",ABCDx
66,[11627],"(8327, 8327)",ABCDx
67,[],"(10410, 10410)",ABCDx
68,[10342],"(7966, 7966)",ABCDx
69,[],"(9823, 9823)",ABCDx
70,[],"(10787, 10787)",ABCDx
71,[12264],"(9200, 9200)",ABCDx
72,[11703],"(8974, 8974)",ABCDx
73,[10798],"(7032, 7032)",ABCDx
74,[],"(9804, 9804)",ABCDx
75,[],"(8480, 8480)",ABCDx
76,[],"(8042, 8042)",ABCDx
77,[8104],"(6970, 6970)",ABCDx
78,[9536],"(7479, 7479)",ABCDx
79,[11089],"(7216, 7216)",ABCDx
80,[12485],"(8747, 8747)",ABCDx
