,CPU_Time
ABCD,1358.2481181621552
ABCDx,1511.001079082489
ADWIN,257.2485692501068
CUSUM,244.3906853199005
DDM,240.08507704734802
EWMAChart,242.22723507881165
GeometricMovingAverage,241.93112587928772
HDDMAverage,244.10603308677673
HDDMWeighted,251.32181882858276
PageHinkley,246.57535099983215
RDDM,253.76685786247253
SEED,238.58116602897644
STEPD,238.58713817596436
STUDD,376.2541971206665
