,CPU_Time
ABCD,357.38030791282654
ABCDx,468.3137710094452
ADWIN,160.23977494239807
CUSUM,159.97140979766846
DDM,159.30716276168823
EWMAChart,159.10634803771973
GeometricMovingAverage,160.67775797843933
HDDMAverage,161.58394289016724
HDDMWeighted,163.90776205062866
PageHinkley,163.29182887077332
RDDM,162.4319350719452
SEED,162.7621250152588
STEPD,161.36072897911072
STUDD,270.651006937027
