,CPU_Time
ABCD,681.0065379142761
ABCDx,1165.9154839515686
ADWIN,76.32229685783386
CUSUM,75.79367804527283
DDM,76.05326104164124
EWMAChart,76.18231201171875
GeometricMovingAverage,75.87155795097351
HDDMAverage,75.84096097946167
HDDMWeighted,78.96727299690247
PageHinkley,75.88110089302063
RDDM,75.84986186027527
SEED,75.80682110786438
STEPD,76.69661903381348
STUDD,114.01699614524841
