,CPU_Time
ABCD,1599.8447008132935
ABCDx,60.07945537567139
ADWIN,152.13555312156677
CUSUM,149.72496509552002
DDM,147.68191075325012
EWMAChart,148.36584091186523
GeometricMovingAverage,148.39664697647095
HDDMAverage,147.39033102989197
HDDMWeighted,155.88184189796448
PageHinkley,144.6094651222229
RDDM,156.24745988845825
SEED,142.52506518363953
STEPD,144.09247016906738
STUDD,209.72575306892395
