,CPU_Time
ABCD,761.4261820316315
ABCDx,734.5398099422455
ADWIN,78.39128088951111
CUSUM,80.13245844841003
DDM,80.3296868801117
EWMAChart,80.04150605201721
GeometricMovingAverage,79.24029016494751
HDDMAverage,80.24414992332458
HDDMWeighted,83.1636700630188
PageHinkley,79.51768016815186
RDDM,80.66535425186157
SEED,85.15979170799255
STEPD,78.07552719116211
STUDD,121.55991005897522
