detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.005}",58,35,3,0.3763440860215054,0.9210526315789473,0.9,0.5343511450381679,-93.88888888888889,0.19331335761971263,0.3099679699764358,30,93
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.01}",19,2,28,0.09523809523809523,0.06666666666666667,0.06666666666666667,0.0784313725490196,907.0,0.06332678956507827,0.06999276741403387,30,21
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.01}",18,18,13,0.5,0.5806451612903226,0.5666666666666667,0.537313432835821,557.2352941176471,0.05999380064060047,0.11998760128120094,30,36
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.01}",61,33,3,0.35106382978723405,0.9166666666666666,0.9,0.5076923076923077,-15.518518518518519,0.20331232439314603,0.3133009589009136,30,94
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.01}",19,2,28,0.09523809523809523,0.06666666666666667,0.06666666666666667,0.0784313725490196,907.0,0.06332678956507827,0.06999276741403387,30,21
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.01}",18,18,13,0.5,0.5806451612903226,0.5666666666666667,0.537313432835821,557.2352941176471,0.05999380064060047,0.11998760128120094,30,36
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.01}",61,33,3,0.35106382978723405,0.9166666666666666,0.9,0.5076923076923077,-15.518518518518519,0.20331232439314603,0.3133009589009136,30,94
ABCD,SEA,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.01}",19,2,28,0.09523809523809523,0.06666666666666667,0.06666666666666667,0.0784313725490196,907.0,0.06332678956507827,0.06999276741403387,30,21
ABCD,Agrawal,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.01}",18,18,13,0.5,0.5806451612903226,0.5666666666666667,0.537313432835821,557.2352941176471,0.05999380064060047,0.11998760128120094,30,36
ABCD,STAGGER,HoeffdingTree,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.01}",61,33,3,0.35106382978723405,0.9166666666666666,0.9,0.5076923076923077,-15.518518518518519,0.20331232439314603,0.3133009589009136,30,94
ADWIN,SEA,HoeffdingTree,ABRUPT,{'delta': 0.001},58,2,28,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.04444444444444444,304.0,0.19331335761971263,0.19997933546866822,30,60
ADWIN,Agrawal,HoeffdingTree,ABRUPT,{'delta': 0.001},86,31,17,0.26495726495726496,0.6458333333333334,0.43333333333333335,0.3757575757575758,-48.61538461538461,0.2866370475050911,0.3899597041639031,30,117
ADWIN,STAGGER,HoeffdingTree,ABRUPT,{'delta': 0.001},364,85,7,0.18930957683741648,0.9239130434782609,0.7666666666666667,0.3142329020332717,-699.4782608695652,1.2132079685099206,1.496512027090534,30,449
