,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,1.0,1.0,9.0,0.5,0.1,0.1,0.16666666666666669,-2245.0,0.0017211348474730297,0.0034422696949460594,10.0,2.0
ADWIN,11.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.01893248332220333,0.01893248332220333,10.0,11.0
CUSUM,57.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0981046863059627,0.0981046863059627,10.0,57.0
DDM,2.0,1.0,9.0,0.3333333333333333,0.1,0.1,0.15384615384615383,-4008.0,0.0034422696949460594,0.00516340454241909,10.0,3.0
EWMAChart,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0
GeometricMovingAverage,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0
HDDMAverage,3.0,1.0,9.0,0.25,0.1,0.1,0.14285714285714288,-2374.0,0.00516340454241909,0.006884539389892119,10.0,4.0
HDDMWeighted,213.0,12.0,1.0,0.05333333333333334,0.9230769230769231,0.9,0.10084033613445378,-2602.5555555555557,0.3666017225117554,0.3872553406814317,10.0,225.0
PageHinkley,10.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.017211348474730298,0.017211348474730298,10.0,10.0
RDDM,58.0,3.0,8.0,0.04918032786885246,0.2727272727272727,0.2,0.08333333333333333,-2136.0,0.09982582115343573,0.10498922569585482,10.0,61.0
SEED,24.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.04130723633935272,0.04130723633935272,10.0,24.0
STEPD,417.0,14.0,1.0,0.03248259860788863,0.9333333333333333,0.9,0.06278026905829596,-3251.0,0.7177132313962534,0.7418091192608759,10.0,431.0
STUDD,172.0,4.0,8.0,0.022727272727272728,0.3333333333333333,0.2,0.04255319148936171,-2550.0,0.29603519376536114,0.3029197331552533,10.0,176.0
