,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms,error
ABCD,20.0,20.0,10.0,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285715,474.1,0.06665977848955608,0.13331955697911216,30.0,40.0,
ABCDx,,,,,,,,,,,,,'ABCDx'
ADWIN,98.0,38.0,13.0,0.27941176470588236,0.7450980392156863,0.5666666666666667,0.4064171122994653,-88.0,0.32663291459882476,0.45328649372898133,30.0,136.0,
CUSUM,28.0,7.0,23.0,0.2,0.23333333333333334,0.23333333333333334,0.2153846153846154,173.14285714285714,0.09332368988537851,0.11665461235672313,30.0,35.0,
DDM,678.0,153.0,4.0,0.18411552346570398,0.9745222929936306,0.8666666666666667,0.30971659919028344,-443.5769230769231,2.259766490795951,2.7697137962410547,30.0,831.0,
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,
GeometricMovingAverage,480.0,118.0,0.0,0.19732441471571907,1.0,1.0,0.329608938547486,-620.8,1.5998346837493458,1.9931273768377267,30.0,598.0,
HDDMAverage,26.0,10.0,20.0,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.303030303030303,308.8,0.0866577120364229,0.11998760128120094,30.0,36.0,
HDDMWeighted,471.0,130.0,0.0,0.21630615640599002,1.0,1.0,0.35567715458276333,-578.1666666666666,1.5698377834290458,2.0031263436111604,30.0,601.0,
PageHinkley,8.0,4.0,26.0,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.19047619047619044,260.0,0.02666391139582243,0.03999586709373364,30.0,12.0,
RDDM,296.0,68.0,0.0,0.18681318681318682,1.0,1.0,0.3148148148148148,-655.3666666666667,0.98656472164543,1.2132079685099206,30.0,364.0,
SEED,33.0,28.0,7.0,0.45901639344262296,0.8,0.7666666666666667,0.5833333333333334,93.47826086956522,0.10998863450776752,0.20331232439314603,30.0,61.0,
STEPD,34.0,26.0,6.0,0.43333333333333335,0.8125,0.8,0.5652173913043479,92.5,0.11332162343224533,0.19997933546866822,30.0,60.0,
STUDD,52.0,11.0,20.0,0.1746031746031746,0.3548387096774194,0.3333333333333333,0.2340425531914894,-189.4,0.1733154240728458,0.20997830224210165,30.0,63.0,
