,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,18.0,19.0,11.0,0.5135135135135135,0.6333333333333333,0.6333333333333333,0.5671641791044775,479.42105263157896,0.05999380064060047,0.12332059020567875,30.0,37.0
ADWIN,77.0,51.0,18.0,0.3984375,0.7391304347826086,0.4,0.5177664974619289,48.0,0.25664014718479095,0.42662258233315886,30.0,128.0
CUSUM,27.0,11.0,19.0,0.2894736842105263,0.36666666666666664,0.36666666666666664,0.32352941176470584,248.63636363636363,0.0899907009609007,0.12665357913015654,30.0,38.0
DDM,358.0,102.0,8.0,0.2217391304347826,0.9272727272727272,0.7333333333333333,0.35789473684210527,-335.3636363636364,1.193210034963054,1.5331749052597898,30.0,460.0
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0
GeometricMovingAverage,116.0,29.0,1.0,0.2,0.9666666666666667,0.9666666666666667,0.33142857142857146,191.86206896551724,0.38662671523942527,0.48328339404928156,30.0,145.0
HDDMAverage,38.0,11.0,22.0,0.22448979591836735,0.3333333333333333,0.26666666666666666,0.2682926829268293,141.25,0.12665357913015654,0.16331645729941238,30.0,49.0
HDDMWeighted,398.0,117.0,0.0,0.22718446601941747,1.0,1.0,0.370253164556962,-699.4,1.326529591942166,1.716489296106069,30.0,515.0
PageHinkley,9.0,5.0,25.0,0.35714285714285715,0.16666666666666666,0.16666666666666666,0.22727272727272724,403.6,0.029996900320300234,0.046661844942689254,30.0,14.0
RDDM,193.0,58.0,2.0,0.23107569721115537,0.9666666666666667,0.9333333333333333,0.3729903536977492,-699.6785714285714,0.6432668624242162,0.8365802200439287,30.0,251.0
SEED,25.0,31.0,2.0,0.5535714285714286,0.9393939393939394,0.9333333333333333,0.6966292134831461,182.14285714285714,0.0833247231119451,0.18664737977075702,30.0,56.0
STEPD,54.0,26.0,5.0,0.325,0.8387096774193549,0.8333333333333334,0.46846846846846846,107.2,0.1799814019218014,0.2666391139582243,30.0,80.0
STUDD,57.0,6.0,28.0,0.09523809523809523,0.17647058823529413,0.06666666666666667,0.12371134020618554,-278.0,0.18998036869523482,0.20997830224210165,30.0,63.0
