,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms,error
ABCD,19.0,13.0,18.0,0.40625,0.41935483870967744,0.4,0.4126984126984127,212.5,0.06332678956507827,0.10665564558328972,30.0,32.0,
ABCDx,,,,,,,,,,,,,'ABCDx'
ADWIN,58.0,53.0,15.0,0.4774774774774775,0.7794117647058824,0.5,0.5921787709497208,-28.266666666666666,0.19331335761971263,0.3699617706170363,30.0,111.0,
CUSUM,22.0,13.0,19.0,0.37142857142857144,0.40625,0.36666666666666664,0.3880597014925374,152.54545454545453,0.07332575633851168,0.11665461235672313,30.0,35.0,
DDM,359.0,85.0,16.0,0.19144144144144143,0.8415841584158416,0.4666666666666667,0.3119266055045871,-470.07142857142856,1.1965430238875316,1.4798470824681451,30.0,444.0,
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,
GeometricMovingAverage,480.0,118.0,0.0,0.19732441471571907,1.0,1.0,0.329608938547486,-551.6,1.5998346837493458,1.9931273768377267,30.0,598.0,
HDDMAverage,16.0,13.0,18.0,0.4482758620689655,0.41935483870967744,0.4,0.4333333333333333,309.9166666666667,0.05332782279164486,0.09665667880985632,30.0,29.0,
HDDMWeighted,468.0,139.0,0.0,0.22899505766062603,1.0,1.0,0.3726541554959785,-589.2666666666667,1.5598388166556123,2.023124277158027,30.0,607.0,
PageHinkley,8.0,2.0,28.0,0.2,0.06666666666666667,0.06666666666666667,0.1,443.5,0.02666391139582243,0.03332988924477804,30.0,10.0,
RDDM,291.0,65.0,0.0,0.18258426966292135,1.0,1.0,0.3087885985748218,-560.3333333333334,0.969899777023041,1.1865440571140982,30.0,356.0,
SEED,16.0,25.0,6.0,0.6097560975609756,0.8064516129032258,0.8,0.6944444444444445,264.5833333333333,0.05332782279164486,0.13665254590358997,30.0,41.0,
STEPD,28.0,23.0,7.0,0.45098039215686275,0.7666666666666667,0.7666666666666667,0.5679012345679013,227.56521739130434,0.09332368988537851,0.169982435148368,30.0,51.0,
STUDD,40.0,15.0,21.0,0.2727272727272727,0.4166666666666667,0.3,0.3296703296703296,-374.1111111111111,0.13331955697911216,0.1833143908462792,30.0,55.0,
