,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,4.0,20.0,1.0,0.8333333333333334,0.9523809523809523,0.95,0.888888888888889,1655.842105263158,0.006884539389892119,0.04130723633935272,20.0,24.0
ADWIN,22.0,1.0,19.0,0.043478260869565216,0.05,0.05,0.046511627906976744,-4443.0,0.03786496664440666,0.03958610149187968,20.0,23.0
CUSUM,110.0,2.0,18.0,0.017857142857142856,0.1,0.1,0.030303030303030304,-3823.5,0.18932483322203328,0.19276710291697935,20.0,112.0
DDM,5.0,1.0,19.0,0.16666666666666666,0.05,0.05,0.07692307692307691,-4008.0,0.008605674237365149,0.01032680908483818,20.0,6.0
EWMAChart,203.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.34939037403702505,0.34939037403702505,20.0,203.0
GeometricMovingAverage,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,20.0,0.0
HDDMAverage,22.0,2.0,18.0,0.08333333333333333,0.1,0.1,0.0909090909090909,319.0,0.03786496664440666,0.04130723633935272,20.0,24.0
HDDMWeighted,1208.0,49.0,1.0,0.03898170246618934,0.98,0.95,0.07498087222647283,-2751.6315789473683,2.07913089574742,2.1634665032735985,20.0,1257.0
PageHinkley,24.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.04130723633935272,0.04130723633935272,20.0,24.0
RDDM,223.0,3.0,18.0,0.01327433628318584,0.14285714285714285,0.1,0.024291497975708502,-2136.0,0.38381307098648565,0.38897647552890474,20.0,226.0
SEED,99.0,20.0,0.0,0.16806722689075632,1.0,1.0,0.28776978417266186,76.9,0.17039234989982996,0.20481504684929056,20.0,119.0
STEPD,1507.0,62.0,0.0,0.039515615041427664,1.0,1.0,0.07602697731453097,-2520.4,2.593750215141856,2.700460575685184,20.0,1569.0
STUDD,512.0,96.0,1.0,0.15789473684210525,0.9896907216494846,0.95,0.2723404255319149,767.8947368421053,0.8812210419061912,1.0464499872636022,20.0,608.0
