,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms,error
ABCD,17.0,11.0,19.0,0.39285714285714285,0.36666666666666664,0.36666666666666664,0.3793103448275862,364.72727272727275,0.05666081171612267,0.09332368988537851,30.0,28.0,
ABCDx,,,,,,,,,,,,,'ABCDx'
ADWIN,57.0,31.0,21.0,0.3522727272727273,0.5961538461538461,0.3,0.4428571428571429,388.44444444444446,0.18998036869523482,0.29330302535404673,30.0,88.0,
CUSUM,16.0,3.0,27.0,0.15789473684210525,0.1,0.1,0.12244897959183673,140.33333333333334,0.05332782279164486,0.06332678956507827,30.0,19.0,
DDM,49.0,14.0,21.0,0.2222222222222222,0.4,0.3,0.2857142857142857,160.0,0.16331645729941238,0.20997830224210165,30.0,63.0,
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,
GeometricMovingAverage,472.0,117.0,0.0,0.19864176570458403,1.0,1.0,0.33144475920679883,-684.8333333333334,1.5731707723535233,1.9631304765174267,30.0,589.0,
HDDMAverage,11.0,2.0,28.0,0.15384615384615385,0.06666666666666667,0.06666666666666667,0.09302325581395349,652.5,0.03666287816925584,0.04332885601821145,30.0,13.0,
HDDMWeighted,23.0,13.0,22.0,0.3611111111111111,0.37142857142857144,0.26666666666666666,0.3661971830985915,357.0,0.07665874526298949,0.11998760128120094,30.0,36.0,
PageHinkley,2.0,1.0,29.0,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.0606060606060606,965.0,0.006665977848955607,0.00999896677343341,30.0,3.0,
RDDM,203.0,53.0,6.0,0.20703125,0.8983050847457628,0.8,0.33650793650793653,-459.625,0.6765967516689942,0.8532451646663177,30.0,256.0,
SEED,19.0,23.0,9.0,0.5476190476190477,0.71875,0.7,0.6216216216216217,421.7142857142857,0.06332678956507827,0.13998553482806775,30.0,42.0,
STEPD,14.0,23.0,7.0,0.6216216216216216,0.7666666666666667,0.7666666666666667,0.6865671641791045,463.17391304347825,0.046661844942689254,0.12332059020567875,30.0,37.0,
STUDD,48.0,3.0,27.0,0.058823529411764705,0.1,0.1,0.07407407407407408,684.3333333333334,0.15998346837493457,0.169982435148368,30.0,51.0,
