,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,0.0,20.0,0.0,1.0,1.0,1.0,1.0,512.65,0.0,0.4413841807909604,20.0,20.0
ADWIN,2.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.04413841807909605,0.04413841807909605,20.0,2.0
CUSUM,5.0,2.0,18.0,0.2857142857142857,0.1,0.1,0.14814814814814817,-1104.0,0.1103460451977401,0.15448446327683618,20.0,7.0
DDM,4.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0882768361581921,0.0882768361581921,20.0,4.0
EWMAChart,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,20.0,0.0
GeometricMovingAverage,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,20.0,0.0
HDDMAverage,6.0,2.0,18.0,0.25,0.1,0.1,0.14285714285714288,967.0,0.13241525423728814,0.1765536723163842,20.0,8.0
HDDMWeighted,120.0,24.0,5.0,0.16666666666666666,0.8275862068965517,0.75,0.27745664739884396,1202.5333333333333,2.6483050847457625,3.1779661016949157,20.0,144.0
PageHinkley,0.0,1.0,19.0,1.0,0.05,0.05,0.09523809523809523,-2170.0,0.0,0.022069209039548024,20.0,1.0
RDDM,15.0,4.0,16.0,0.21052631578947367,0.2,0.2,0.20512820512820512,-1333.5,0.3310381355932203,0.4193149717514124,20.0,19.0
SEED,5.0,25.0,0.0,0.8333333333333334,1.0,1.0,0.9090909090909091,-122.65,0.1103460451977401,0.6620762711864406,20.0,30.0
STEPD,94.0,55.0,0.0,0.3691275167785235,1.0,1.0,0.5392156862745098,-765.6,2.0745056497175143,3.2883121468926553,20.0,149.0
STUDD,26.0,134.0,0.0,0.8375,1.0,1.0,0.9115646258503401,-29.55,0.5737994350282486,3.5310734463276834,20.0,160.0
