,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,65.0,33.0,3.0,0.336734693877551,0.9166666666666666,0.9,0.49253731343283585,-16.444444444444443,0.21664428009105724,0.32663291459882476,30.0,98.0
ADWIN,385.0,83.0,8.0,0.17735042735042736,0.9120879120879121,0.7333333333333333,0.29695885509839004,-624.7272727272727,1.2832007359239546,1.5598388166556123,30.0,468.0
CUSUM,63.0,13.0,17.0,0.17105263157894737,0.43333333333333335,0.43333333333333335,0.24528301886792456,-425.6923076923077,0.20997830224210165,0.2533071582603131,30.0,76.0
DDM,439.0,59.0,12.0,0.11847389558232932,0.8309859154929577,0.6,0.20738137082601055,-440.1111111111111,1.463182137845756,1.6598284843899465,30.0,498.0
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0
GeometricMovingAverage,113.0,29.0,1.0,0.20422535211267606,0.9666666666666667,0.9666666666666667,0.3372093023255814,212.44827586206895,0.37662774846599184,0.47328442727584813,30.0,142.0
HDDMAverage,99.0,17.0,17.0,0.14655172413793102,0.5,0.43333333333333335,0.22666666666666666,93.61538461538461,0.32996590352330263,0.38662671523942527,30.0,116.0
HDDMWeighted,309.0,60.0,2.0,0.16260162601626016,0.967741935483871,0.9333333333333333,0.27842227378190254,86.53571428571429,1.0298935776636413,1.2298729131323096,30.0,369.0
PageHinkley,30.0,8.0,22.0,0.21052631578947367,0.26666666666666666,0.26666666666666666,0.23529411764705882,-589.625,0.09998966773433411,0.12665357913015654,30.0,38.0
RDDM,225.0,40.0,8.0,0.1509433962264151,0.8333333333333334,0.7333333333333333,0.25559105431309903,-504.3636363636364,0.7499225080075059,0.8832420649866181,30.0,265.0
SEED,104.0,48.0,1.0,0.3157894736842105,0.9795918367346939,0.9666666666666667,0.4776119402985075,-263.7931034482759,0.3466308481456916,0.5066143165206262,30.0,152.0
STEPD,96.0,51.0,1.0,0.3469387755102041,0.9807692307692307,0.9666666666666667,0.5125628140703518,-334.2758620689655,0.31996693674986915,0.4899493718982372,30.0,147.0
STUDD,149.0,33.0,23.0,0.1813186813186813,0.5892857142857143,0.23333333333333334,0.27731092436974786,40.857142857142854,0.49661534974719274,0.6066039842549603,30.0,182.0
