,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms,error
ABCD,15.0,2.0,28.0,0.11764705882352941,0.06666666666666667,0.06666666666666667,0.0851063829787234,813.5,0.049994833867167056,0.05666081171612267,30.0,17.0,
ABCDx,,,,,,,,,,,,,'ABCDx'
ADWIN,50.0,2.0,29.0,0.038461538461538464,0.06451612903225806,0.03333333333333333,0.04819277108433735,600.0,0.1666494462238902,0.1733154240728458,30.0,52.0,
CUSUM,14.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.046661844942689254,0.046661844942689254,30.0,14.0,
DDM,64.0,9.0,26.0,0.1232876712328767,0.2571428571428571,0.13333333333333333,0.16666666666666663,-412.75,0.21331129116657943,0.24330819148687968,30.0,73.0,
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,
GeometricMovingAverage,480.0,119.0,0.0,0.1986644407345576,1.0,1.0,0.33147632311977715,-744.9333333333333,1.5998346837493458,1.9964603657622046,30.0,599.0,
HDDMAverage,7.0,1.0,29.0,0.125,0.03333333333333333,0.03333333333333333,0.052631578947368425,104.0,0.023330922471344627,0.02666391139582243,30.0,8.0,
HDDMWeighted,38.0,49.0,4.0,0.5632183908045977,0.9245283018867925,0.8666666666666667,0.7000000000000001,497.1923076923077,0.12665357913015654,0.289970036429569,30.0,87.0,
PageHinkley,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,
RDDM,257.0,94.0,1.0,0.2678062678062678,0.9894736842105263,0.9666666666666667,0.4215246636771301,-753.551724137931,0.8565781535907957,1.1698791124917092,30.0,351.0,
SEED,17.0,10.0,20.0,0.37037037037037035,0.3333333333333333,0.3333333333333333,0.3508771929824561,486.4,0.05666081171612267,0.0899907009609007,30.0,27.0,
STEPD,16.0,12.0,18.0,0.42857142857142855,0.4,0.4,0.4137931034482759,537.6666666666666,0.05332782279164486,0.09332368988537851,30.0,28.0,
STUDD,9.0,1.0,29.0,0.1,0.03333333333333333,0.03333333333333333,0.05,647.0,0.029996900320300234,0.03332988924477804,30.0,10.0,
