,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms,error
ABCD,21.0,2.0,28.0,0.08695652173913043,0.06666666666666667,0.06666666666666667,0.07547169811320756,728.0,0.06999276741403387,0.07665874526298949,30.0,23.0,
ABCDx,,,,,,,,,,,,,'ABCDx'
ADWIN,69.0,3.0,28.0,0.041666666666666664,0.0967741935483871,0.06666666666666667,0.05825242718446602,136.0,0.22997623578896847,0.23997520256240187,30.0,72.0,
CUSUM,14.0,2.0,28.0,0.125,0.06666666666666667,0.06666666666666667,0.08695652173913045,-43.5,0.046661844942689254,0.05332782279164486,30.0,16.0,
DDM,85.0,14.0,24.0,0.1414141414141414,0.3684210526315789,0.2,0.20437956204379562,-221.0,0.28330405858061336,0.32996590352330263,30.0,99.0,
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,
GeometricMovingAverage,480.0,119.0,0.0,0.1986644407345576,1.0,1.0,0.33147632311977715,-756.1333333333333,1.5998346837493458,1.9964603657622046,30.0,599.0,
HDDMAverage,9.0,1.0,29.0,0.1,0.03333333333333333,0.03333333333333333,0.05,992.0,0.029996900320300234,0.03332988924477804,30.0,10.0,
HDDMWeighted,56.0,38.0,4.0,0.40425531914893614,0.9047619047619048,0.8666666666666667,0.5588235294117647,462.84615384615387,0.18664737977075702,0.3133009589009136,30.0,94.0,
PageHinkley,3.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.00999896677343341,0.00999896677343341,30.0,3.0,
RDDM,263.0,83.0,3.0,0.2398843930635838,0.9651162790697675,0.9,0.38425925925925924,-633.1481481481482,0.8765760871376624,1.15321416786932,30.0,346.0,
SEED,19.0,16.0,14.0,0.45714285714285713,0.5333333333333333,0.5333333333333333,0.4923076923076923,461.0,0.06332678956507827,0.11665461235672313,30.0,35.0,
STEPD,18.0,12.0,18.0,0.4,0.4,0.4,0.4000000000000001,509.1666666666667,0.05999380064060047,0.09998966773433411,30.0,30.0,
STUDD,31.0,1.0,29.0,0.03125,0.03333333333333333,0.03333333333333333,0.03225806451612904,-601.0,0.10332265665881192,0.10665564558328972,30.0,32.0,
