,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,21.0,10.0,20.0,0.3225806451612903,0.3333333333333333,0.3333333333333333,0.32786885245901637,315.6,0.06999276741403387,0.10332265665881192,30.0,31.0
ADWIN,48.0,43.0,15.0,0.4725274725274725,0.7413793103448276,0.5,0.5771812080536913,83.73333333333333,0.15998346837493457,0.30330199212748016,30.0,91.0
CUSUM,29.0,15.0,16.0,0.3409090909090909,0.4838709677419355,0.4666666666666667,0.4,149.85714285714286,0.09665667880985632,0.14665151267702337,30.0,44.0
DDM,561.0,163.0,6.0,0.22513812154696133,0.9644970414201184,0.8,0.36506159014557665,-598.0416666666666,1.869806786632048,2.41308398132193,30.0,724.0
EWMAChart,0.0,1.0,29.0,1.0,0.03333333333333333,0.03333333333333333,0.06451612903225806,214.0,0.0,0.0033329889244778036,30.0,1.0
GeometricMovingAverage,480.0,118.0,0.0,0.19732441471571907,1.0,1.0,0.329608938547486,-588.2333333333333,1.5998346837493458,1.9931273768377267,30.0,598.0
HDDMAverage,15.0,9.0,21.0,0.375,0.3,0.3,0.33333333333333326,270.55555555555554,0.049994833867167056,0.07999173418746729,30.0,24.0
HDDMWeighted,460.0,132.0,0.0,0.22297297297297297,1.0,1.0,0.3646408839779005,-696.5666666666667,1.5331749052597898,1.97312944329086,30.0,592.0
PageHinkley,4.0,8.0,22.0,0.6666666666666666,0.26666666666666666,0.26666666666666666,0.3809523809523809,506.75,0.013331955697911214,0.03999586709373364,30.0,12.0
RDDM,283.0,71.0,0.0,0.20056497175141244,1.0,1.0,0.3341176470588236,-599.7666666666667,0.9432358656272185,1.1798780792651424,30.0,354.0
SEED,15.0,26.0,7.0,0.6341463414634146,0.7878787878787878,0.7666666666666667,0.7027027027027027,317.39130434782606,0.049994833867167056,0.13665254590358997,30.0,41.0
STEPD,14.0,29.0,6.0,0.6744186046511628,0.8285714285714286,0.8,0.7435897435897435,75.75,0.046661844942689254,0.14331852375254556,30.0,43.0
STUDD,67.0,12.0,25.0,0.1518987341772152,0.32432432432432434,0.16666666666666666,0.20689655172413793,-155.2,0.22331025794001286,0.2633061250337465,30.0,79.0
