,detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
0,ABCD,SEA,NaiveBayes,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.001}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
1,ABCD,Agrawal,NaiveBayes,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.001}",17,11,39,0.39285714285714285,0.22,0.22,0.28205128205128205,96.9090909090909,0.16991334419446083,0.27985727279087663,50,28
2,ABCD,STAGGER,NaiveBayes,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.001}",14,18,32,0.5625,0.36,0.36,0.43902439024390244,377.05555555555554,0.13992863639543832,0.3198368831895733,50,32
3,ABCD,SEA,NaiveBayes,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.001}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
4,ABCD,Agrawal,NaiveBayes,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.001}",17,11,39,0.39285714285714285,0.22,0.22,0.28205128205128205,96.9090909090909,0.16991334419446083,0.27985727279087663,50,28
5,ABCD,STAGGER,NaiveBayes,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.001}",14,18,32,0.5625,0.36,0.36,0.43902439024390244,377.05555555555554,0.13992863639543832,0.3198368831895733,50,32
6,ABCD,SEA,NaiveBayes,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.001}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
7,ABCD,Agrawal,NaiveBayes,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.001}",17,11,39,0.39285714285714285,0.22,0.22,0.28205128205128205,96.9090909090909,0.16991334419446083,0.27985727279087663,50,28
8,ABCD,STAGGER,NaiveBayes,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.001}",14,18,32,0.5625,0.36,0.36,0.43902439024390244,377.05555555555554,0.13992863639543832,0.3198368831895733,50,32
9,ABCD,SEA,NaiveBayes,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.002}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
10,ABCD,Agrawal,NaiveBayes,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.002}",17,11,39,0.39285714285714285,0.22,0.22,0.28205128205128205,214.8181818181818,0.16991334419446083,0.27985727279087663,50,28
11,ABCD,STAGGER,NaiveBayes,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.002}",14,18,32,0.5625,0.36,0.36,0.43902439024390244,358.3888888888889,0.13992863639543832,0.3198368831895733,50,32
12,ABCD,SEA,NaiveBayes,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.002}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
13,ABCD,Agrawal,NaiveBayes,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.002}",17,11,39,0.39285714285714285,0.22,0.22,0.28205128205128205,214.8181818181818,0.16991334419446083,0.27985727279087663,50,28
14,ABCD,STAGGER,NaiveBayes,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.002}",14,18,32,0.5625,0.36,0.36,0.43902439024390244,358.3888888888889,0.13992863639543832,0.3198368831895733,50,32
15,ABCD,SEA,NaiveBayes,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.002}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
16,ABCD,Agrawal,NaiveBayes,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.002}",17,11,39,0.39285714285714285,0.22,0.22,0.28205128205128205,214.8181818181818,0.16991334419446083,0.27985727279087663,50,28
17,ABCD,STAGGER,NaiveBayes,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.002}",14,18,32,0.5625,0.36,0.36,0.43902439024390244,358.3888888888889,0.13992863639543832,0.3198368831895733,50,32
18,ABCD,SEA,NaiveBayes,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.005}",1,1,49,0.5,0.02,0.02,0.038461538461538464,-243.0,0.009994902599674166,0.019989805199348332,50,2
19,ABCD,Agrawal,NaiveBayes,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.005}",19,10,40,0.3448275862068966,0.2,0.2,0.2531645569620254,206.3,0.18990314939380915,0.2898521753905508,50,29
20,ABCD,STAGGER,NaiveBayes,ABRUPT,"{'model_id': 'pca', 'delta_drift': 0.005}",12,22,28,0.6470588235294118,0.44,0.44,0.5238095238095238,310.54545454545456,0.11993883119609,0.33982668838892166,50,34
21,ABCD,SEA,NaiveBayes,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.005}",1,1,49,0.5,0.02,0.02,0.038461538461538464,-243.0,0.009994902599674166,0.019989805199348332,50,2
22,ABCD,Agrawal,NaiveBayes,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.005}",19,10,40,0.3448275862068966,0.2,0.2,0.2531645569620254,206.3,0.18990314939380915,0.2898521753905508,50,29
23,ABCD,STAGGER,NaiveBayes,ABRUPT,"{'model_id': 'kpca', 'delta_drift': 0.005}",12,22,28,0.6470588235294118,0.44,0.44,0.5238095238095238,310.54545454545456,0.11993883119609,0.33982668838892166,50,34
24,ABCD,SEA,NaiveBayes,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.005}",1,1,49,0.5,0.02,0.02,0.038461538461538464,-243.0,0.009994902599674166,0.019989805199348332,50,2
25,ABCD,Agrawal,NaiveBayes,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.005}",19,10,40,0.3448275862068966,0.2,0.2,0.2531645569620254,206.3,0.18990314939380915,0.2898521753905508,50,29
26,ABCD,STAGGER,NaiveBayes,ABRUPT,"{'model_id': 'ae', 'delta_drift': 0.005}",12,22,28,0.6470588235294118,0.44,0.44,0.5238095238095238,310.54545454545456,0.11993883119609,0.33982668838892166,50,34
27,ADWIN,SEA,NaiveBayes,ABRUPT,{'delta': 0.001},6,4,46,0.4,0.08,0.08,0.13333333333333333,-156.0,0.059969415598045,0.09994902599674167,50,10
28,ADWIN,Agrawal,NaiveBayes,ABRUPT,{'delta': 0.001},32,31,37,0.49206349206349204,0.45588235294117646,0.26,0.47328244274809156,9.23076923076923,0.3198368831895733,0.6296788637794725,50,63
29,ADWIN,STAGGER,NaiveBayes,ABRUPT,{'delta': 0.001},17,44,31,0.7213114754098361,0.5866666666666667,0.38,0.6470588235294118,61.05263157894737,0.16991334419446083,0.6096890585801241,50,61
30,ADWIN,SEA,NaiveBayes,ABRUPT,{'delta': 0.002},3,8,43,0.7272727272727273,0.1568627450980392,0.14,0.25806451612903225,-99.42857142857143,0.0299847077990225,0.10994392859641583,50,11
31,ADWIN,Agrawal,NaiveBayes,ABRUPT,{'delta': 0.002},29,39,30,0.5735294117647058,0.5652173913043478,0.4,0.5693430656934305,64.0,0.2898521753905508,0.6796533767778433,50,68
32,ADWIN,STAGGER,NaiveBayes,ABRUPT,{'delta': 0.002},16,48,28,0.75,0.631578947368421,0.44,0.6857142857142857,34.18181818181818,0.15991844159478666,0.6396737663791466,50,64
33,ADWIN,SEA,NaiveBayes,ABRUPT,{'delta': 0.005},4,10,42,0.7142857142857143,0.19230769230769232,0.16,0.30303030303030304,-194.0,0.039979610398696665,0.13992863639543832,50,14
34,ADWIN,Agrawal,NaiveBayes,ABRUPT,{'delta': 0.005},27,37,32,0.578125,0.5362318840579711,0.36,0.556390977443609,54.22222222222222,0.2698623701912025,0.6396737663791466,50,64
35,ADWIN,STAGGER,NaiveBayes,ABRUPT,{'delta': 0.005},13,44,29,0.7719298245614035,0.6027397260273972,0.42,0.676923076923077,-27.80952380952381,0.12993373379576417,0.5697094481814274,50,57
36,CUSUM,SEA,NaiveBayes,ABRUPT,"{'min_n_instances': 50, 'lambda_': 150, 'delta': 0.005}",1,0,50,0.0,0.0,0.0,0.0,,0.009994902599674166,0.009994902599674166,50,1
37,CUSUM,Agrawal,NaiveBayes,ABRUPT,"{'min_n_instances': 50, 'lambda_': 150, 'delta': 0.005}",7,2,48,0.2222222222222222,0.04,0.04,0.06779661016949154,132.5,0.06996431819771916,0.08995412339706749,50,9
38,CUSUM,STAGGER,NaiveBayes,ABRUPT,"{'min_n_instances': 50, 'lambda_': 150, 'delta': 0.005}",8,4,46,0.3333333333333333,0.08,0.08,0.12903225806451613,-161.25,0.07995922079739333,0.11993883119609,50,12
