detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
CUSUM,Rialto,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",122,9,41,0.06870229007633588,0.18,0.18,0.09944751381215469,508.1111111111111,1.4832826747720365,1.5927051671732522,50,131
CUSUM,GasSensorArray,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",21,5,45,0.19230769230769232,0.1,0.1,0.13157894736842105,723.0,1.509705248023005,1.8691588785046729,50,26
CUSUM,NOAA,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",23,6,44,0.20689655172413793,0.12,0.12,0.1518987341772152,1230.0,1.2665895699102374,1.5970042403216036,50,29
CUSUM,Asfault,HoeffdingTree,GRADUAL,"{'min_n_instances': 1000, 'lambda_': 150, 'delta': 0.001}",3,0,50,0.0,0.0,0.0,0.0,,0.35034450543033985,0.35034450543033985,50,3
CUSUM,Electricity,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",76,6,44,0.07317073170731707,0.12,0.12,0.0909090909090909,1667.5,1.6772598870056497,1.809675141242938,50,82
CUSUM,Covtype,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",188,5,45,0.025906735751295335,0.1,0.1,0.0411522633744856,1630.8,1.88,1.9300000000000002,50,193
CUSUM,Posture,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",135,5,45,0.03571428571428571,0.1,0.1,0.05263157894736841,1203.0,1.35,1.4,50,140
CUSUM,Rialto,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",170,8,42,0.0449438202247191,0.16,0.16,0.07017543859649122,954.0,2.066869300911854,2.164133738601824,50,178
CUSUM,GasSensorArray,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",33,10,40,0.23255813953488372,0.2,0.2,0.2150537634408602,478.5,2.3723939611790077,3.0913012221423433,50,43
CUSUM,NOAA,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",40,9,41,0.1836734693877551,0.18,0.18,0.1818181818181818,870.5555555555555,2.202764469409108,2.6983864750261577,50,49
CUSUM,Asfault,HoeffdingTree,GRADUAL,"{'min_n_instances': 500, 'lambda_': 100, 'delta': 0.001}",10,0,50,0.0,0.0,0.0,0.0,,1.1678150181011329,1.1678150181011329,50,10
CUSUM,Electricity,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 2000, 'delta': 0.005}",10,0,50,0.0,0.0,0.0,0.0,,0.2206920903954802,0.2206920903954802,50,10
CUSUM,Covtype,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 2000, 'delta': 0.005}",12,0,50,0.0,0.0,0.0,0.0,,0.12000000000000001,0.12000000000000001,50,12
CUSUM,Posture,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 2000, 'delta': 0.005}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
CUSUM,Rialto,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 2000, 'delta': 0.005}",24,0,50,0.0,0.0,0.0,0.0,,0.2917933130699088,0.2917933130699088,50,24
CUSUM,GasSensorArray,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 2000, 'delta': 0.005}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
CUSUM,NOAA,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 2000, 'delta': 0.005}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
CUSUM,Asfault,HoeffdingTree,GRADUAL,"{'min_n_instances': 100, 'lambda_': 2000, 'delta': 0.005}",0,0,50,0.0,0.0,0.0,0.0,,0.0,0.0,50,0
CUSUM,Electricity,HoeffdingTree,GRADUAL,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.01}",38,0,50,0.0,0.0,0.0,0.0,,0.8386299435028248,0.8386299435028248,50,38
CUSUM,Covtype,HoeffdingTree,GRADUAL,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.01}",87,4,46,0.04395604395604396,0.08,0.08,0.056737588652482275,1849.5,0.87,0.91,50,91
CUSUM,Posture,HoeffdingTree,GRADUAL,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.01}",34,0,50,0.0,0.0,0.0,0.0,,0.34,0.34,50,34
CUSUM,Rialto,HoeffdingTree,GRADUAL,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.01}",91,10,40,0.09900990099009901,0.2,0.2,0.13245033112582782,781.1,1.1063829787234043,1.2279635258358663,50,101
CUSUM,GasSensorArray,HoeffdingTree,GRADUAL,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.01}",17,0,50,0.0,0.0,0.0,0.0,,1.2221423436376706,1.2221423436376706,50,17
CUSUM,NOAA,HoeffdingTree,GRADUAL,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.01}",25,0,50,0.0,0.0,0.0,0.0,,1.376727793380693,1.376727793380693,50,25
CUSUM,Asfault,HoeffdingTree,GRADUAL,"{'min_n_instances': 2000, 'lambda_': 150, 'delta': 0.01}",2,0,50,0.0,0.0,0.0,0.0,,0.23356300362022656,0.23356300362022656,50,2
CUSUM,Electricity,HoeffdingTree,GRADUAL,"{'min_n_instances': 50, 'lambda_': 1000, 'delta': 0.01}",10,0,50,0.0,0.0,0.0,0.0,,0.2206920903954802,0.2206920903954802,50,10
CUSUM,Covtype,HoeffdingTree,GRADUAL,"{'min_n_instances': 50, 'lambda_': 1000, 'delta': 0.01}",25,1,49,0.038461538461538464,0.02,0.02,0.026315789473684213,1537.0,0.25,0.25999999999999995,50,26
CUSUM,Posture,HoeffdingTree,GRADUAL,"{'min_n_instances': 50, 'lambda_': 1000, 'delta': 0.01}",2,0,50,0.0,0.0,0.0,0.0,,0.02,0.02,50,2
