,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,599.0,128.0,0.0,0.17606602475928473,1.0,1.0,0.2994152046783626,-470.76666666666665,13.219456214689266,16.04431497175141,30.0,727.0
ADWIN,1209.0,114.0,2.0,0.08616780045351474,0.9827586206896551,0.9333333333333333,0.15844336344683807,-561.4285714285714,26.681673728813557,29.19756355932203,30.0,1323.0
CUSUM,180.0,11.0,23.0,0.05759162303664921,0.3235294117647059,0.23333333333333334,0.09777777777777777,-961.1428571428571,3.972457627118644,4.215218926553672,30.0,191.0
DDM,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0
EWMAChart,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0
GeometricMovingAverage,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0
HDDMAverage,6876.0,1003.0,0.0,0.12730041883487753,1.0,1.0,0.22585003377617657,-1676.6,151.7478813559322,173.88329802259886,30.0,7879.0
HDDMWeighted,3225.0,479.0,0.0,0.12931965442764579,1.0,1.0,0.22902223284723883,-1555.1666666666667,71.17319915254238,81.74435028248587,30.0,3704.0
PageHinkley,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0
RDDM,2505.0,137.0,1.0,0.05185465556396669,0.9927536231884058,0.9666666666666667,0.0985611510791367,-1841.344827586207,55.2833686440678,58.306850282485875,30.0,2642.0
SEED,4305.0,568.0,0.0,0.11656064026267186,1.0,1.0,0.20878514978864182,-2080.7,95.00794491525423,107.54325564971752,30.0,4873.0
STEPD,9431.0,1208.0,0.0,0.11354450606259987,1.0,1.0,0.20393348527053262,-2273.2,208.1347104519774,234.79431497175142,30.0,10639.0
STUDD,427.0,176.0,0.0,0.29187396351575456,1.0,1.0,0.45186136071887034,-1294.6333333333334,9.423552259887005,13.307733050847457,30.0,603.0
