,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0
ADWIN,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0
CUSUM,1.0,3.0,7.0,0.75,0.3,0.3,0.4285714285714285,-1435.0,0.022069209039548024,0.0882768361581921,10.0,4.0
DDM,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0
EWMAChart,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0
GeometricMovingAverage,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0
HDDMAverage,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0
HDDMWeighted,7.0,5.0,5.0,0.4166666666666667,0.5,0.5,0.45454545454545453,-1944.2,0.15448446327683618,0.2648305084745763,10.0,12.0
PageHinkley,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0
RDDM,4.0,1.0,9.0,0.2,0.1,0.1,0.13333333333333333,-105.0,0.0882768361581921,0.1103460451977401,10.0,5.0
SEED,0.0,3.0,8.0,1.0,0.2727272727272727,0.2,0.42857142857142855,-1006.5,0.0,0.06620762711864407,10.0,3.0
STEPD,24.0,7.0,4.0,0.22580645161290322,0.6363636363636364,0.6,0.3333333333333333,-1363.0,0.5296610169491526,0.6841454802259886,10.0,31.0
STUDD,20.0,2.0,8.0,0.09090909090909091,0.2,0.2,0.12500000000000003,-1562.5,0.4413841807909604,0.4855225988700565,10.0,22.0
