detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCDx,Asfault,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'ae', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",0,12,38,1.0,0.24,0.24,0.3870967741935484,150.75,0.0,1.4013780217213594,50,12
ABCDx,Electricity,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",4,15,35,0.7894736842105263,0.3,0.3,0.4347826086956521,36.2,0.0882768361581921,0.4193149717514124,50,19
ABCDx,Covtype,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",4,20,30,0.8333333333333334,0.4,0.4,0.5405405405405406,130.85,0.04,0.24000000000000002,50,24
ABCDx,Posture,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",4,12,38,0.75,0.24,0.24,0.36363636363636365,155.66666666666666,0.04,0.16,50,16
ABCDx,Rialto,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",2,17,33,0.8947368421052632,0.34,0.34,0.4927536231884058,460.5882352941176,0.0243161094224924,0.23100303951367782,50,19
ABCDx,GasSensorArray,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",5,18,32,0.782608695652174,0.36,0.36,0.4931506849315068,756.2777777777778,0.3594536304816679,1.6534867002156721,50,23
ABCDx,NOAA,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",1,13,37,0.9285714285714286,0.26,0.26,0.40625,28.615384615384617,0.05506911173522771,0.7709675642931879,50,14
ABCDx,Asfault,HoeffdingTree,ABRUPT,"{'num_splits': 50, 'model_id': 'kpca', 'encoding_factor': 0.7, 'delta_warn': 0.1, 'delta_drift': 0.0001}",0,12,38,1.0,0.24,0.24,0.3870967741935484,108.58333333333333,0.0,1.4013780217213594,50,12
ABCDx,Electricity,HoeffdingTree,ABRUPT,"{'num_splits': 20, 'model_id': 'ae', 'encoding_factor': 0.5, 'delta_warn': 0.01, 'delta_drift': 0.0001}",3,0,50,0.0,0.0,0.0,0.0,,0.06620762711864407,0.06620762711864407,50,3
ABCDx,Covtype,HoeffdingTree,ABRUPT,"{'num_splits': 20, 'model_id': 'ae', 'encoding_factor': 0.5, 'delta_warn': 0.01, 'delta_drift': 0.0001}",1,20,30,0.9523809523809523,0.4,0.4,0.5633802816901408,315.0,0.01,0.21000000000000002,50,21
